onset	duration	temperature	ratings	regulate-up/down
846.216	12.5	44.300000	n/a	down
866.227	11.0	n/a	120.000000	down
884.46	12.5	46.300000	n/a	down
905.469	11.0	n/a	123.000000	down
922.704	12.5	43.300000	n/a	down
941.718	11.0	n/a	6.000000	down
958.954	12.5	46.300000	n/a	down
975.973	11.0	n/a	130.000000	down
993.209	12.5	45.300000	n/a	down
1011.242	11.0	n/a	114.000000	down
1030.472	12.5	43.300000	n/a	down
1048.489	11.0	n/a	5.000000	down
1067.719	12.5	42.300000	n/a	down
1085.752	11.0	n/a	4.000000	down
1105.979	12.5	42.300000	n/a	down
1124.993	11.0	n/a	4.000000	down
1143.226	12.5	44.300000	n/a	down
1162.24	11.0	n/a	115.000000	down
1180.473	12.5	45.300000	n/a	down
1200.484	11.0	n/a	127.000000	down
