onset	duration	temperature	ratings	regulate-up/down
10.217	12.5	42.300000	n/a	n/a
29.247	11.0	n/a	164.000000	n/a
47.48	12.5	42.300000	n/a	n/a
65.497	11.0	n/a	155.000000	n/a
84.727	12.5	44.300000	n/a	n/a
104.738	11.0	n/a	170.000000	n/a
121.974	12.5	44.300000	n/a	n/a
139.991	11.0	n/a	164.000000	n/a
160.218	12.5	46.300000	n/a	n/a
177.221	11.0	n/a	190.000000	n/a
196.451	12.5	45.300000	n/a	n/a
215.465	11.0	n/a	170.000000	n/a
231.687	12.5	43.300000	n/a	n/a
251.715	11.0	n/a	155.000000	n/a
268.95	12.5	45.300000	n/a	n/a
287.964	11.0	n/a	175.000000	n/a
306.197	12.5	42.300000	n/a	n/a
323.2	11.0	n/a	141.000000	n/a
341.433	12.5	46.300000	n/a	n/a
359.45	11.0	n/a	194.000000	n/a
377.683	12.5	43.300000	n/a	n/a
398.708	11.0	n/a	174.000000	n/a
