onset	duration	temperature	ratings	regulate-up/down
846.216	12.5	45.300000	n/a	down
864.249	11.0	n/a	2.000000	down
884.476	12.5	45.300000	n/a	down
904.488	11.0	n/a	3.000000	down
921.723	12.5	44.300000	n/a	down
940.737	11.0	n/a	1.000000	down
959.967	12.5	46.300000	n/a	down
976.97	11.0	n/a	105.000000	down
995.203	12.5	42.300000	n/a	down
1016.212	11.0	n/a	0.000000	down
1034.445	12.5	42.300000	n/a	down
1053.475	11.0	n/a	1.000000	down
1070.711	12.5	46.300000	n/a	down
1090.722	11.0	n/a	107.000000	down
1108.955	12.5	44.300000	n/a	down
1126.972	11.0	n/a	5.000000	down
1143.194	12.5	43.300000	n/a	down
1161.227	11.0	n/a	0.000000	down
1180.457	12.5	43.300000	n/a	down
1199.471	11.0	n/a	1.000000	down
