onset	duration	temperature	ratings	regulate-up/down
2482.216	12.5	42.300000	n/a	down
2499.219	11.0	n/a	102.000000	down
2519.446	12.5	45.300000	n/a	down
2539.457	11.0	n/a	109.000000	down
2557.69	12.5	46.300000	n/a	down
2575.707	11.0	n/a	119.000000	down
2593.94	12.5	45.300000	n/a	down
2613.967	11.0	n/a	105.000000	down
2631.203	12.5	43.300000	n/a	down
2652.211	11.0	n/a	94.000000	down
2669.447	12.5	42.300000	n/a	down
2687.48	11.0	n/a	50.000000	down
2704.716	12.5	43.300000	n/a	down
2722.749	11.0	n/a	44.000000	down
2741.979	12.5	44.300000	n/a	down
2760.993	11.0	n/a	82.000000	down
2777.215	12.5	46.300000	n/a	down
2796.245	11.0	n/a	136.000000	down
2814.478	12.5	44.300000	n/a	down
2833.492	11.0	n/a	90.000000	down
