onset	duration	temperature	ratings	regulate-up/down
2482.216	12.5	46.300000	n/a	up
2503.225	11.0	n/a	200.000000	up
2521.458	12.5	43.300000	n/a	up
2539.491	11.0	n/a	112.000000	up
2557.724	12.5	43.300000	n/a	up
2575.757	11.0	n/a	58.000000	up
2592.993	12.5	42.300000	n/a	up
2612.023	11.0	n/a	22.000000	up
2629.259	12.5	42.300000	n/a	up
2649.287	11.0	n/a	15.000000	up
2667.519	12.5	45.300000	n/a	up
2685.536	11.0	n/a	167.000000	up
2701.758	12.5	44.300000	n/a	up
2721.786	11.0	n/a	165.000000	up
2741.016	12.5	46.300000	n/a	up
2760.046	11.0	n/a	200.000000	up
2780.273	12.5	44.300000	n/a	up
2799.287	11.0	n/a	173.000000	up
2818.517	12.5	45.300000	n/a	up
2835.52	11.0	n/a	187.000000	up
