onset	duration	temperature	ratings	regulate-up/down
10.216	12.5	42.300000	n/a	n/a
27.219	11.0	n/a	29.000000	n/a
46.449	12.5	42.300000	n/a	n/a
63.452	11.0	n/a	0.000000	n/a
81.685	12.5	44.300000	n/a	n/a
102.694	11.0	n/a	17.000000	n/a
122.921	12.5	43.300000	n/a	n/a
140.938	11.0	n/a	24.000000	n/a
157.16	12.5	45.300000	n/a	n/a
177.188	11.0	n/a	117.000000	n/a
196.418	12.5	43.300000	n/a	n/a
216.445	11.0	n/a	3.000000	n/a
234.678	12.5	45.300000	n/a	n/a
253.692	11.0	n/a	109.000000	n/a
270.928	12.5	46.300000	n/a	n/a
288.945	11.0	n/a	145.000000	n/a
307.178	12.5	42.300000	n/a	n/a
326.208	11.0	n/a	12.000000	n/a
343.444	12.5	46.300000	n/a	n/a
361.477	11.0	n/a	141.000000	n/a
379.71	12.5	44.300000	n/a	n/a
398.724	11.0	n/a	62.000000	n/a
