onset	duration	temperature	ratings	regulate-up/down
10.217	12.5	42.300000	n/a	n/a
28.25	11.0	n/a	103.000000	n/a
45.485	12.5	42.300000	n/a	n/a
65.497	11.0	n/a	49.000000	n/a
84.727	12.5	44.300000	n/a	n/a
103.757	11.0	n/a	88.000000	n/a
121.99	12.5	43.300000	n/a	n/a
142.998	11.0	n/a	24.000000	n/a
162.228	12.5	45.300000	n/a	n/a
179.231	11.0	n/a	110.000000	n/a
195.453	12.5	43.300000	n/a	n/a
213.47	11.0	n/a	24.000000	n/a
230.705	12.5	44.300000	n/a	n/a
249.719	11.0	n/a	75.000000	n/a
267.952	12.5	42.300000	n/a	n/a
285.969	11.0	n/a	12.000000	n/a
304.202	12.5	46.300000	n/a	n/a
324.229	11.0	n/a	125.000000	n/a
341.465	12.5	46.300000	n/a	n/a
360.479	11.0	n/a	120.000000	n/a
380.706	12.5	45.300000	n/a	n/a
397.709	11.0	n/a	105.000000	n/a
