onset	duration	temperature	ratings	regulate-up/down
846.216	12.5	44.300000	n/a	up
865.23	11.0	n/a	180.000000	up
882.466	12.5	45.300000	n/a	up
903.475	11.0	n/a	184.000000	up
923.702	12.5	45.300000	n/a	up
941.719	11.0	n/a	185.000000	up
959.952	12.5	42.300000	n/a	up
979.979	11.0	n/a	157.000000	up
998.212	12.5	42.300000	n/a	up
1017.226	11.0	n/a	160.000000	up
1034.462	12.5	44.300000	n/a	up
1052.495	11.0	n/a	170.000000	up
1071.725	12.5	43.300000	n/a	up
1089.742	11.0	n/a	140.000000	up
1107.975	12.5	43.300000	n/a	up
1127.986	11.0	n/a	160.000000	up
1147.216	12.5	46.300000	n/a	up
1166.23	11.0	n/a	194.000000	up
1183.466	12.5	46.300000	n/a	up
1200.469	11.0	n/a	196.000000	up
