onset	duration	temperature	ratings	regulate-up/down
2482.216	12.5	42.300000	n/a	up
2500.249	11.0	n/a	118.000000	up
2518.482	12.5	45.300000	n/a	up
2537.512	11.0	n/a	125.000000	up
2555.745	12.5	46.300000	n/a	up
2574.775	11.0	n/a	137.000000	up
2592.011	12.5	43.300000	n/a	up
2610.044	11.0	n/a	103.000000	up
2630.271	12.5	43.300000	n/a	up
2647.274	11.0	n/a	101.000000	up
2666.504	12.5	44.300000	n/a	up
2685.534	11.0	n/a	112.000000	up
2702.77	12.5	46.300000	n/a	up
2723.795	11.0	n/a	145.000000	up
2743.025	12.5	44.300000	n/a	up
2761.058	11.0	n/a	101.000000	up
2779.29	12.5	45.300000	n/a	up
2799.301	11.0	n/a	102.000000	up
2815.523	12.5	42.300000	n/a	up
2835.534	11.0	n/a	105.000000	up
