onset	duration	temperature	ratings	regulate-up/down
10.216	12.5	42.300000	n/a	n/a
28.233	11.0	n/a	29.000000	n/a
47.463	12.5	43.300000	n/a	n/a
66.477	11.0	n/a	17.000000	n/a
84.71	12.5	46.300000	n/a	n/a
102.743	11.0	n/a	161.000000	n/a
121.973	12.5	44.300000	n/a	n/a
142.001	11.0	n/a	18.000000	n/a
159.236	12.5	44.300000	n/a	n/a
176.239	11.0	n/a	18.000000	n/a
194.472	12.5	42.300000	n/a	n/a
213.502	11.0	n/a	15.000000	n/a
230.738	12.5	43.300000	n/a	n/a
251.763	11.0	n/a	116.000000	n/a
268.998	12.5	42.300000	n/a	n/a
287.015	11.0	n/a	4.000000	n/a
305.247	12.5	45.300000	n/a	n/a
324.261	11.0	n/a	100.000000	n/a
342.494	12.5	45.300000	n/a	n/a
359.497	11.0	n/a	20.000000	n/a
375.719	12.5	46.300000	n/a	n/a
395.746	11.0	n/a	172.000000	n/a
