onset	duration	temperature	ratings	regulate-up/down
10.216	12.5	44.300000	n/a	n/a
28.233	11.0	n/a	130.000000	n/a
45.467	12.5	45.300000	n/a	n/a
62.47	11.0	n/a	123.000000	n/a
82.697	12.5	45.300000	n/a	n/a
100.714	11.0	n/a	121.000000	n/a
119.944	12.5	43.300000	n/a	n/a
137.977	11.0	n/a	77.000000	n/a
154.199	12.5	43.300000	n/a	n/a
173.229	11.0	n/a	60.000000	n/a
191.462	12.5	42.300000	n/a	n/a
211.473	11.0	n/a	42.000000	n/a
228.709	12.5	42.300000	n/a	n/a
245.712	11.0	n/a	58.000000	n/a
262.947	12.5	44.300000	n/a	n/a
281.961	11.0	n/a	105.000000	n/a
300.194	12.5	46.300000	n/a	n/a
321.203	11.0	n/a	153.000000	n/a
339.435	12.5	46.300000	n/a	n/a
358.449	11.0	n/a	161.000000	n/a
376.682	12.5	44.300000	n/a	n/a
396.693	11.0	n/a	21.000000	n/a
