onset	duration	temperature	ratings	regulate-up/down
2482.217	12.5	46.300000	n/a	up
2500.25	11.0	n/a	115.000000	up
2518.483	12.5	46.300000	n/a	up
2535.502	11.0	n/a	110.000000	up
2552.738	12.5	45.300000	n/a	up
2570.771	11.0	n/a	20.000000	up
2590.998	12.5	44.300000	n/a	up
2612.007	11.0	n/a	5.000000	up
2628.228	12.5	42.300000	n/a	up
2648.24	11.0	n/a	5.000000	up
2666.472	12.5	42.300000	n/a	up
2686.484	11.0	n/a	0.000000	up
2703.719	12.5	43.300000	n/a	up
2722.733	11.0	n/a	0.000000	up
2741.963	12.5	45.300000	n/a	up
2760.977	11.0	n/a	105.000000	up
2778.213	12.5	43.300000	n/a	up
2796.246	11.0	n/a	3.000000	up
2815.476	12.5	44.300000	n/a	up
2834.49	11.0	n/a	10.000000	up
