onset	duration	temperature	ratings	regulate-up/down
846.216	12.5	45.300000	n/a	up
867.225	11.0	n/a	193.000000	up
884.46	12.5	44.300000	n/a	up
902.477	11.0	n/a	118.000000	up
918.7	12.5	43.300000	n/a	up
938.727	11.0	n/a	114.000000	up
955.962	12.5	45.300000	n/a	up
974.976	11.0	n/a	109.000000	up
993.209	12.5	43.300000	n/a	up
1012.223	11.0	n/a	92.000000	up
1031.453	12.5	46.300000	n/a	up
1049.47	11.0	n/a	160.000000	up
1066.706	12.5	46.300000	n/a	up
1085.736	11.0	n/a	184.000000	up
1105.964	12.5	42.300000	n/a	up
1122.983	11.0	n/a	159.000000	up
1142.213	12.5	44.300000	n/a	up
1162.225	11.0	n/a	120.000000	up
1180.458	12.5	42.300000	n/a	up
1198.491	11.0	n/a	56.000000	up
