onset	duration	temperature	ratings	regulate-up/down
846.216	12.5	46.300000	n/a	down
865.23	11.0	n/a	200.000000	down
882.466	12.5	43.300000	n/a	down
900.499	11.0	n/a	23.000000	down
919.729	12.5	43.300000	n/a	down
938.743	11.0	n/a	33.000000	down
954.965	12.5	42.300000	n/a	down
973.995	11.0	n/a	5.000000	down
991.231	12.5	42.300000	n/a	down
1012.239	11.0	n/a	23.000000	down
1030.472	12.5	45.300000	n/a	down
1050.483	11.0	n/a	190.000000	down
1069.713	12.5	44.300000	n/a	down
1089.725	11.0	n/a	155.000000	down
1109.952	12.5	46.300000	n/a	down
1127.985	11.0	n/a	197.000000	down
1145.221	12.5	44.300000	n/a	down
1163.238	11.0	n/a	187.000000	down
1181.47	12.5	45.300000	n/a	down
1198.473	11.0	n/a	194.000000	down
