onset	duration	temperature	ratings	regulate-up/down
846.216	12.5	45.300000	n/a	down
865.247	11.0	n/a	0.000000	down
883.479	12.5	46.300000	n/a	down
903.491	11.0	n/a	129.000000	down
920.726	12.5	45.300000	n/a	down
938.743	11.0	n/a	0.000000	down
954.964	12.5	44.300000	n/a	down
971.967	11.0	n/a	0.000000	down
989.203	12.5	43.300000	n/a	down
1008.233	11.0	n/a	0.000000	down
1027.464	12.5	42.300000	n/a	down
1046.494	11.0	n/a	0.000000	down
1066.721	12.5	43.300000	n/a	down
1086.733	11.0	n/a	0.000000	down
1105.963	12.5	44.300000	n/a	down
1123.996	11.0	n/a	0.000000	down
1142.229	12.5	46.300000	n/a	down
1160.262	11.0	n/a	104.000000	down
1177.498	12.5	42.300000	n/a	down
1198.523	11.0	n/a	0.000000	down
