onset	duration	temperature	ratings	regulate-up/down
846.216	12.5	42.300000	n/a	down
865.246	11.0	n/a	110.000000	down
883.479	12.5	45.300000	n/a	down
904.504	11.0	n/a	120.000000	down
923.734	12.5	46.300000	n/a	down
942.764	11.0	n/a	130.000000	down
960.0	12.5	43.300000	n/a	down
977.019	11.0	n/a	73.000000	down
997.246	12.5	43.300000	n/a	down
1016.26	11.0	n/a	49.000000	down
1033.495	12.5	44.300000	n/a	down
1051.512	11.0	n/a	90.000000	down
1069.745	12.5	46.300000	n/a	down
1089.772	11.0	n/a	145.000000	down
1105.995	12.5	44.300000	n/a	down
1126.022	11.0	n/a	107.000000	down
1143.257	12.5	45.300000	n/a	down
1161.274	11.0	n/a	107.000000	down
1180.504	12.5	42.300000	n/a	down
1198.537	11.0	n/a	73.000000	down
