onset	duration	temperature	ratings	regulate-up/down
10.216	12.5	46.300000	n/a	n/a
28.249	11.0	n/a	62.000000	n/a
47.479	12.5	46.300000	n/a	n/a
65.496	11.0	n/a	150.000000	n/a
82.732	12.5	44.300000	n/a	n/a
101.762	11.0	n/a	15.000000	n/a
118.998	12.5	45.300000	n/a	n/a
139.025	11.0	n/a	15.000000	n/a
157.258	12.5	45.300000	n/a	n/a
177.269	11.0	n/a	11.000000	n/a
195.502	12.5	42.300000	n/a	n/a
214.516	11.0	n/a	5.000000	n/a
233.746	12.5	43.300000	n/a	n/a
250.749	11.0	n/a	5.000000	n/a
270.976	12.5	43.300000	n/a	n/a
289.99	11.0	n/a	12.000000	n/a
307.226	12.5	44.300000	n/a	n/a
325.259	11.0	n/a	11.000000	n/a
341.481	12.5	42.300000	n/a	n/a
362.506	11.0	n/a	0.000000	n/a
380.739	12.5	46.300000	n/a	n/a
397.758	11.0	n/a	177.000000	n/a
