onset	duration	temperature	ratings	regulate-up/down
2482.216	12.5	42.300000	n/a	up
2500.233	11.0	n/a	97.000000	up
2518.466	12.5	44.300000	n/a	up
2539.491	11.0	n/a	104.000000	up
2556.726	12.5	43.300000	n/a	up
2575.756	11.0	n/a	91.000000	up
2594.986	12.5	46.300000	n/a	up
2614.997	11.0	n/a	124.000000	up
2633.23	12.5	45.300000	n/a	up
2652.26	11.0	n/a	118.000000	up
2668.483	12.5	44.300000	n/a	up
2686.515	11.0	n/a	83.000000	up
2703.751	12.5	46.300000	n/a	up
2721.784	11.0	n/a	132.000000	up
2739.019	12.5	45.300000	n/a	up
2758.033	11.0	n/a	116.000000	up
2776.266	12.5	43.300000	n/a	up
2796.294	11.0	n/a	87.000000	up
2815.523	12.5	42.300000	n/a	up
2832.526	11.0	n/a	54.000000	up
