onset	duration	temperature	ratings	regulate-up/down
846.216	12.5	42.100000	n/a	down
867.241	11.0	n/a	15.000000	down
884.476	12.5	44.700000	n/a	down
904.487	11.0	n/a	20.000000	down
921.723	12.5	46.000000	n/a	down
940.737	11.0	n/a	105.000000	down
957.973	12.5	43.400000	n/a	down
976.006	11.0	n/a	15.000000	down
994.239	12.5	43.400000	n/a	down
1012.272	11.0	n/a	20.000000	down
1031.502	12.5	42.100000	n/a	down
1051.513	11.0	n/a	15.000000	down
1069.746	12.5	44.700000	n/a	down
1086.749	11.0	n/a	25.000000	down
1106.976	12.5	46.000000	n/a	down
1125.99	11.0	n/a	107.000000	down
1144.223	12.5	40.800000	n/a	down
1163.237	11.0	n/a	4.000000	down
1182.467	12.5	40.800000	n/a	down
1200.484	11.0	n/a	4.000000	down
