GlobSig	CER6_p	CER7ab	R_CERCR2_p	CER9_v	CER6_a	L_CERCR2_a	CER9_d	CER9_m	CER7b_m	L_CERCR2_p	CER7b_l	N	CERCR1	CER6_d	CER5	R_CERCR2_a	POsul_d	POsul_v	VMPFcor_p	R_MTgyr_a	L_ANGgyr	L_MTgyr_p	L_MTgyr_a	DMPFC_ar	L_SFsul_a	DMPFcor_ac	PCcor	POsul	L_IPlob	PGACcor	VMPFcor_a	PRC_d	SFgyr_ad	L_IPlob	R_ANGgyr	PRC_v	R_MTgyr_p	PRC_d	R_MFgyr_a	L_DVIS_v	SPlob	R_VLPFcor	FUSgyr_vl	R_IFsul	FP	R_DVIS_v	L_FP_l	SPlob	L_MFgyr_pc	L_VLPFcor	OCCTgyr_l	ACcor_d	L_MFgyr_pr	R_MFgyr_p	R_IPsul	L_IFsul	DVIS_s	FUSgyr_dl	R_SFsul	R_IPlob	R_FP_l	R_PORB	DMPFcor_p	L_IPsul	L_MFgyr_a	DVIS_vl	CAUDNH_NACC	COLsul	LORBgyr	ITgyr	STgyr_a	MORBgyr	PINS_v	TP	HIPP	AMY	PIsul	CERVM	L_MOTnet_dl	MOTnet_am	R_MOTnet_dl	MOTnet_m	MOTnet_ml	MOTnet_vl	MOTnet_l	l_PCsul	CNGsul_p	PUT_p	AINS_pd	CAUDN_d	AINS_v	FEF	PCsul_d	IMsul	STgyr_p	CAUDN_v	PUT_a	HSgyr	PSMcor_p	PSMcor_a	SMgyr	THAL_d	THAL_v	R_PCsul	PINS_d	STgyr_m	PCcor	AINS_ad	CAUDN	PVISnet_l	MDVISnet_p	MDVISnet_a	LVISnet_vp	MVISnet_p	MVISnet_av	LVISnet_p	PVISnet_dm	PVISnet_vm	MVISnet_ad	VVISnet_l	LVISnet_DP	VVISnet_m
-167.13876193832934	-1437.9337631431786	243.88620468175836	-492.20343192651353	-536.2470613547733	225.84492640673372	-84.00994494351474	-1028.1316989898683	343.76446984767915	-439.02773563513597	-490.71058662302175	484.5354489907206	-1569.9027887743873	-1092.6576699793918	-642.4994190811668	103.6443293605532	497.9296663232046	-331.1370841500288	1343.6134296417235	53.352595274361015	-87.17229650518989	-174.05739039146096	-1342.6297241592408	-348.20672391641017	140.64686759312949	60.39767779344283	225.41398171836317	47.30399789529688	965.9344700096691	-725.7109764329412	216.0846635615453	308.02928521875606	-515.9188114730766	-289.45261222551454	-1040.15625253385	-7.539562219305884	1311.1021188100178	-177.6769170192962	234.05680323730815	-650.0617016185414	-230.1370783297815	-368.0119408153651	-708.0336837710039	-111.71737662228671	451.3135302561634	-201.38121006384	-585.5117843683007	117.75180339813232	-334.83862699965636	-406.21435275444617	-1175.6768825906906	315.9462821682647	482.6232086469049	-1136.0217183241205	-193.6929832353561	461.5688605046534	-446.8943738343423	37.554270431775	437.2863495459923	401.4750905354818	-251.0741948461385	-219.46353064914084	176.602367209379	-275.8119548943596	-685.0294155120849	-6.23975526369535	176.67887214378075	-1310.5795070261195	-243.58610265615786	-776.2454189338182	129.02755768487557	95.18735633560374	-582.5745077527885	-306.18310250943165	296.33191602702004	-160.7179934234016	538.8184218119426	-373.03127317976305	585.9034302003922	-643.323135084576	-502.42375619649886	95.08030812094145	-612.1192141728229	-51.718213162588	104.67757284347647	177.54332808292273	255.87586179025857	810.7707042694092	404.9263352235871	571.926785718311	511.0627141751741	523.6293260029385	323.84290791040735	-129.29077324694578	-552.4625706696391	-210.53526123674723	327.1423046875	140.98006105028892	-479.93165239067963	375.98192938374734	498.24099391630324	-197.22034576223214	58.80820176352753	-665.5374091863632	-491.82710723876954	-292.96522734205604	-95.57081168753201	-163.14815374280585	215.20371223130607	647.232178540297	-536.7266605700588	-466.71606228969716	520.5840469201406	-636.4714858044861	657.5992505940524	1014.7251465022564	302.1920903513306	-971.2185576121012	-593.2979920789769	81.24555145263672	-1002.6178827962568	-193.9641258244042	-893.5102128477657
-5.015989531127068	-1675.2948401683086	284.0642063702856	-442.69438172044426	-429.2818476983479	70.19882148331132	-351.7447238943794	-1099.782242826982	-565.4963823246956	47.5206164617217	-507.1956601811063	-300.1927058510274	-1011.124645846921	-265.6076664122177	-819.2870688314332	329.80080825941906	263.27476485788003	-47.75908749974416	651.7790482562522	161.43654901319775	-212.18366675457713	-195.56443316219776	-808.589523417155	-157.70769408194707	1218.931949229688	-91.87798666204297	-62.73807500118396	523.9259723775527	1480.0775247455317	-233.7307805148038	-19.57909086772374	507.89772602663203	-515.4781544518578	-279.9036959288255	-831.3709116190889	-625.5815756834006	992.1571784464518	-338.3532280861063	305.312094504183	-507.36211266951125	379.1245448477914	-69.22693893700315	-263.9014851230465	258.4488606669686	1082.712256008724	668.3194391509115	284.87530180321465	633.1445430275853	-72.89134017096626	-554.9662109888517	-695.3900071095376	809.0343482185215	-314.3687999673086	-1023.688145174909	-295.25125024542456	755.1112305148617	-74.73781519438091	171.68606113786456	750.1720079055199	540.5218780517578	-97.605998458508	948.6701422314311	710.9693823037325	-449.5998546317004	-376.02361007852755	-778.5845105492857	488.715691773349	-545.9082699098449	392.54964833443523	-129.00780792236327	307.0285431313164	-296.405116973044	-103.20275315712128	-610.5576467043475	488.9210776449169	-339.88858596892226	548.6603590494179	-650.7913893364571	832.9362208151048	-351.5636834303538	-598.2069892374675	126.00783874275528	-474.7341727291245	-155.10359885997343	-48.03738691066874	75.00719061283151	349.5766655559271	887.1563134238834	11.620050387532187	342.131778169762	912.1316881681744	341.4630781387796	95.06017853700662	-194.2483516171118	-181.3177824073763	-415.73914653313886	809.4071067810058	345.49910017281525	-291.48792067967184	301.7089267592356	242.50830104433257	-133.52127207347633	-37.73227263374562	-867.884290099144	-280.18697118759155	-640.7313126656969	60.47380508047635	103.9441535980975	193.31268890003741	72.86998286717375	46.0212238194827	228.04319031076668	339.60452675819397	561.2600570904311	1085.7771506107215	2055.2750965356827	757.8221947142953	-503.5611431948344	-453.7849770643865	106.15690625	-457.0793511831472	231.56265804359504	-40.10795854400186
-105.67317232697896	-1329.1829054033435	-128.4174841358548	-448.47628466507484	106.17446522485642	6.53603360267101	-480.16287771051583	-743.0146572893316	-1266.7040927410126	290.0932276436452	-489.19593754714464	-1328.4328048588843	-1149.1711654920837	-243.37124396450696	-1155.4805887879936	84.95556530356407	-233.2713331980248	313.2764647899274	-25.529734304676886	184.23165027009256	-92.59068402866859	-159.25162173780197	-416.563092151218	32.21144693548029	1234.9047553009295	-313.6736620657099	-278.6423331487139	1058.2133863112506	1306.9234456908232	659.3107865767046	-298.09766146285193	199.93778103590012	-634.5937435937035	-255.87455023999485	-214.67098637218893	-644.0830602842041	404.6338937918345	-153.17293005598353	348.808313889937	-842.8728749015114	588.9664799699159	-23.736433223255894	191.74919516855178	156.6260822821747	740.5460676337188	446.20337616218313	798.8659514897986	828.0545217526471	-119.55415373908149	-446.3290005830618	-359.1949301322881	495.6743705319257	-1126.8612456485016	-414.02530009710966	-81.87479362981605	299.8096122322502	-118.02684755827251	-223.5045647180381	274.36003851798864	663.9830163574219	298.50984773621104	1106.389749784248	482.0878049961474	-329.7194578751274	-473.0081185036517	-1249.5028721961748	715.6565217971802	769.7107303453529	891.2095733467124	104.24000783666577	138.04392163017218	-647.9641050894049	167.9023939789737	-1349.1806844702937	2.9668294286360166	-322.7126882726496	-66.72496828616383	-618.8807263760954	549.2292484544938	-1271.4703664879005	-625.0551451619466	-20.342021902030872	-514.778637575816	-585.8941211126801	-626.0777954576638	-688.3536297191273	-27.870863945831154	214.96216437930153	-755.791781553773	-225.45162623578852	655.899932058234	-125.09225298433887	-300.8918530500388	-523.6581876935401	92.13646219263029	-667.22905029038	797.6264123773575	-149.2357973934205	-267.04135345026504	-424.8393079925695	-390.2799264315901	-554.0256629310791	-336.03204154383184	-760.2965703805288	-371.8593863010407	-1286.772154187348	-476.2340065018075	172.59605832959784	-86.24739583816819	-501.0965533793812	-142.36002735283137	902.9310380990622	-44.94858121871948	751.3582338517712	1267.3821824044892	2301.93516176939	400.4563352183292	222.4439982922872	-473.4291173550566	392.71324270629884	-54.66396912451713	313.57434973778487	687.725711553237
-447.56978313340664	-667.5167420619243	-894.8524485542661	-449.38767719104374	540.8521935826257	1.465736860061582	-349.5451032811945	-148.36725900823419	-1393.8240663170814	237.25982579488434	-387.77097210003313	-2326.5286892086433	-1981.4145511807621	-1061.9419841311123	-1501.0705390136038	-584.5261454468682	-888.8880446828799	537.2048438294919	-512.9568729359171	170.90870438820406	277.0174208030862	-132.0572588633906	-307.3068115700616	44.820367451870084	193.32110810202687	-567.7931617880768	-354.76742068262007	1217.4405623201062	419.57877272266455	1432.3069032842463	-466.6890213762011	-495.57925015788965	-883.9434009945446	-292.4087055206299	454.3148340308753	-221.02761260618138	-160.09572570800782	204.08902332021836	255.18907352740115	-1627.351408663663	329.6428924275336	-324.95801543938484	395.50914586733467	-346.40651926127344	-406.29105827943334	-720.4737355578077	494.2393376193469	514.156313480775	-393.5910992595885	-170.7108709399517	-242.09144588804594	-557.729738508194	-1661.5728664659473	249.44286865974541	274.25062345918326	-672.9334093869387	-397.2613949625116	-1010.7816663149024	-798.150149342647	534.5972596740722	663.3090631526321	251.15412213525107	-285.118377052287	16.63516705278037	-839.5576748259524	-1398.1193840433154	595.8043831602606	1844.913723323656	885.6338835583242	-26.224317755197223	-307.4370188713074	-764.5267823762532	156.39496948886475	-2151.378463722635	-844.7901928418706	-188.5751408776747	-914.8247152179121	-381.70376277614287	-13.1539428464828	-2893.968221558465	-560.7870521291097	-195.03832371881074	-664.5290463918662	-1081.7220938044384	-1475.3745187538598	-1706.8217164241905	-710.6736597709812	-1066.9027323404948	-1326.9769549006303	-938.2902414907109	90.96508003536023	-564.6246810981205	-703.3149210741249	-1010.800356309726	114.88574603896829	-823.5349811313677	321.1455501556396	-905.6905314547956	-439.6048295109771	-1535.1398623817324	-993.2504720824888	-1234.049758181245	-599.8162266783919	-115.37405304114024	-700.783345413208	-1893.2308653233415	-1385.9023436155476	-153.6961823760486	-539.1952025355495	-752.4800651442837	-1047.5953311590174	952.0616609314342	-497.0108633587758	-259.40372170684157	942.6320883693118	1201.1139545440674	-620.0621295477215	797.8289246114095	-388.3187522380524	602.4329248905182	-122.72439872987809	-50.615401504276036	560.4647775537827
-825.6059359533168	-140.9334811648807	-1586.9494637194134	-371.8564482244952	389.8945273444766	-41.52063172684665	-3.044654039036144	281.6193018479781	-932.3267854976654	77.70959219771825	-203.75177169605425	-2976.8314634568196	-2892.546179578111	-2024.5897522404741	-1626.5203099942119	-1270.6565665233702	-1441.7668243728272	442.00555813027	-799.2128920845363	204.76776667290332	640.6618263330837	-274.5441996568551	-444.89547946506076	-211.89730806061715	-1160.1422319998633	-862.6004926993412	-399.78780017648654	743.5624523934196	-819.6704428290243	1467.5820113442162	-486.561447770255	-1265.3698433011266	-1128.550525134989	-466.74700098577534	723.801834579802	193.94237124768995	-525.8346540967624	413.13698999120834	-48.210111477158286	-2337.3308434789833	-210.43253902185742	-817.3602979191562	223.66793588089615	-953.9978346282786	-1548.0982781176297	-1974.5693936679827	-507.14787386640717	-139.89823310744544	-647.0020692401462	69.6412550852849	-293.78261980697187	-1765.9483167180795	-1721.4079117970923	507.3633906805693	543.7449866483126	-1537.8749990463257	-664.0175366769757	-1701.2979798036463	-1868.1318719350375	52.02397252400716	733.7076364759321	-931.9033112991688	-974.8468350153121	377.67714646933734	-1160.922978721781	-1286.8927599156398	65.51767348233984	2084.48410896633	294.8314076715124	-243.08802869178746	-790.3770858627909	-644.4860151459899	3.358813859148568	-2467.649985899005	-1573.626430683087	-107.95737463306533	-1452.8239691056401	-146.24194521517367	-610.6579375267029	-4146.459474523862	-408.03324208577476	-228.87232277326495	-789.316201988473	-1295.829898231908	-2175.1377279488324	-2325.134634095009	-1312.5646971369013	-2306.4227999732607	-1298.692913417859	-1496.202115633271	-294.5197898864746	-713.8905381961745	-917.1970697668535	-1420.664690391267	-47.67920070219396	-787.8877070749792	-437.22503143310547	-1285.4509374090462	-662.2671639274719	-2443.2901648684488	-1155.8290900343966	-1712.3203094978194	-567.5702812964199	865.6805793444315	-1010.8645294189453	-2072.315144451594	-2025.2401831955206	-735.226517184836	-946.1381587039382	-619.438064440875	-2166.658749766416	229.09396162592336	-890.8423099716505	-1893.8592139290224	274.6160084811124	-995.1250885426998	-1737.4850178925615	1025.3061354319254	-46.63511426367234	462.904894443512	-659.4595081452401	-644.6265988221039	-485.3552500556497
-1005.6318166899538	-56.82022156586518	-1784.0617878976323	-188.39277142491835	-421.8123997279576	-218.53960659296186	343.9503455794941	255.53540221994572	-241.89151355743408	57.49831032485105	-17.36694326218526	-3098.606937387136	-3155.727140677942	-2327.7879637950446	-1421.7107587729245	-1520.8412038513593	-1640.0949238244802	1.349193837114437	-956.326045492421	307.20795892046385	675.8992468013117	-659.34794883494	-660.0535491010878	-639.5860584143436	-1886.7821252137712	-1173.672841132062	-562.3975820637069	-209.91579846774832	-1863.7339479694258	571.7370938387784	-435.3276874269758	-1764.8601474761963	-1184.2125473877775	-759.7448398806014	394.57776792206033	227.58386078967322	-736.5177118237814	249.56952287389876	-523.0192523002625	-2393.1859297318892	-729.6483879936076	-1224.3908932079348	-233.82310462324585	-1389.660092830658	-1903.438970529808	-2358.757932432405	-1625.5396864202958	-720.820706554717	-671.5589286592271	116.31165464107806	-367.3884611756262	-2453.9847469516167	-1323.0720432098597	222.15897498913665	556.6700202855477	-1771.32415665637	-769.2192452547843	-1854.7971800154999	-2359.880051979652	-618.8021625264486	417.20005401516846	-1554.3750982417616	-1100.6034895679938	532.0326564346535	-1212.3000535680892	-1001.3366059861945	-651.73652905005	1466.8052138452945	-596.1804088456695	-292.57417033095106	-1071.2119779656914	-486.8710223910175	-70.90328868495979	-1960.3884431353786	-1871.056789127291	-183.2529855358742	-1390.8747774664178	-53.25326940175649	-1137.9954071506377	-4185.507382604811	-210.05985968907675	-51.163841185168685	-777.5526430405766	-1067.7587925258435	-2293.277561587066	-2103.6688921764644	-1483.2098152984477	-2796.4755817594983	-734.2280260009081	-1699.6218621947548	-323.24762854325144	-499.5612491685517	-873.1029105126104	-1532.9114541449587	-216.2812981849805	-567.6022824292622	-1257.5719259643554	-987.4971137243854	-721.4545716574025	-2652.178803350024	-781.0998616474627	-1632.9321767793235	-184.17911125253315	1650.1013460829854	-1046.2570245087147	-1653.7733732967054	-1893.9068237679903	-1214.3466969396247	-1077.0941196485164	-348.89677441288046	-2880.741622066828	-798.8053346563269	-1162.0360845724742	-3234.809892782601	-247.01632149436256	-3248.4401646852493	-2371.1994802073427	1007.6061521402995	451.83984330217197	49.1545728149414	-1343.9979001045226	-1108.3797223159859	-1741.3421499476713
-888.8188118953888	-352.89585525925094	-1411.525517787252	65.36501433273841	-1506.903703598749	-528.6962785522967	453.9127683979815	-177.332533194802	180.74808776855468	268.96007274509816	75.81153257940984	-2733.8739165993375	-2497.6606334093453	-1719.930322184146	-969.634931301982	-1191.242166087741	-1412.051717451174	-602.7368813760266	-1027.8485158961753	397.6160267834888	270.3718327021195	-1139.6106189423544	-758.8739861043294	-984.3599902403475	-1540.6345851197598	-1400.4144294156968	-867.526599526804	-1160.943736777586	-2285.547315683742	-803.1500668612393	-419.42149176767896	-1802.396448432389	-957.2505297682211	-1034.6970852689924	-308.0677358623404	-132.6870528112484	-973.2725951735179	-240.99252995835974	-1000.0999477343125	-1633.3573327498002	-996.3221543748803	-1336.1319339842128	-732.2915106647091	-1551.0563334551725	-1328.7816149693615	-1500.373492859222	-2246.037079678306	-873.4600560709011	-446.6340186576048	-16.857157212037308	-320.2824539128881	-2316.6311619811117	-684.84424764367	-341.0040015889638	290.5789867429768	-1334.5709186857873	-719.2701751575136	-1417.8837594424976	-2092.0554695496194	-1124.1489959716796	-153.09900609775224	-1130.1447539603987	-680.7197769558619	398.24504736022675	-1005.0766832067611	-614.4897259029411	-1175.408975278259	473.5602982562521	-1301.5114670776118	-128.39696827436748	-1056.188672752284	-514.4575994684726	45.817026054580076	-780.5202557078579	-1738.8754780402833	-356.47783298831683	-885.3071153846132	-78.95438595075865	-1549.111346152521	-2974.774965683619	-38.24877868652344	264.6002128904111	-599.7590004334967	-543.15409595805	-1685.473887368376	-1124.5472978389625	-1130.6926976414354	-2278.5513910566056	-88.98573701798648	-1570.0392366756093	-241.2118388125771	-65.01417650495257	-674.313896264532	-1272.7962662449786	-265.9784016016111	-253.08776481400787	-1920.005276184082	-273.2198229072508	-501.7886920252512	-2072.167929145339	-145.72408006520106	-998.6509879762946	311.6482468587489	1750.1612769961357	-718.0660299301147	-807.1500735590014	-997.7069574074667	-1295.981195543633	-836.9912771217723	-285.0688157954686	-2820.456937778883	-1392.2973434542432	-1269.979545533657	-3603.333346669392	-211.0948553316521	-4296.979535698891	-2273.13655936718	962.0060658518473	810.0842968501972	-238.40473193359375	-1735.0787527107423	-1191.3109988822594	-2244.0676540711347
-566.6281180089185	-659.424160892899	-801.7309831494376	309.32757592694514	-2298.1686401672305	-842.6965165098673	255.13303893869573	-677.0589738325639	38.636932022571564	575.0752600632356	48.8045181256191	-2083.779361234697	-1295.1307474444243	-660.8104052705672	-452.6737519498208	-559.6605657708077	-919.3102309518583	-1067.135323558739	-986.9607249218485	358.1377983692429	-359.81628363550044	-1416.5860818032106	-641.6629664315118	-1011.2036060949769	-461.07866023042055	-1419.77327694533	-1178.0607655120134	-1654.355203291949	-1992.1113103230794	-1860.8088419133967	-478.3543177655765	-1444.8315068934492	-524.0272201401236	-1130.1859236411328	-905.3217505991024	-559.5190134576604	-1366.7944251505535	-782.0500851022437	-1260.5827443166213	-429.4189761595293	-967.7320168040624	-1121.3431675258437	-1036.3037051893261	-1478.8922086195512	-394.9358143716488	133.0927055860177	-2121.5499126217032	-569.4961454882944	-116.45393136342366	-154.56634910290057	-134.12929818229955	-1573.6571945478183	-80.67399218311049	-767.8248674193425	-124.33004683584072	-654.3657031635662	-622.9789206605209	-739.6961269218381	-1327.937894645104	-1166.9827372233074	-710.4643108320679	106.79165786033452	-168.98875854128883	82.18637431186178	-733.3850432619136	-169.69468679935974	-1231.9467489353563	-317.61957280532175	-1437.1803677159885	96.76610030312287	-826.8946940600872	-764.1891683071475	270.0350245867286	494.3421029709933	-1398.4998140960242	-456.57294802232224	-380.6778439233102	-73.0434959514721	-1702.035679017344	-1237.0077224440045	55.38994344075521	553.597285038957	-316.37240519365633	-50.735333889050594	-615.1836357234147	85.48261215951707	-460.4607312780031	-1102.1299452282133	162.8933605142773	-1289.5518383004448	-410.3924281070107	322.64383759790536	-490.0286542739578	-747.8149367042903	-212.56417538574087	53.86140843300663	-2198.612930908203	302.801766592609	-77.25791981608369	-1035.0471480176857	333.7837578017136	-150.69994868677014	544.8190368933181	1097.144305785497	-137.8462260901928	77.69846002611064	164.52574544617386	-963.2926187984278	-339.963705556021	-568.8669592897656	-2045.7452547409955	-1116.5318546629983	-1147.8026705185573	-2895.696403195781	339.6017023491137	-3431.2130911946297	-1594.7926500345532	958.4299804258346	725.5241608420253	4.219404987335205	-1532.3099219291441	-895.7934399467331	-1514.7905928667853
-238.32001696981	-608.9005144737862	-425.5946236167635	448.75169497086057	-2432.2392067228043	-987.1139690351685	-97.83636681296609	-891.4614252957431	-569.3829032119085	721.1347818535365	-45.89741973816209	-1360.1089751813665	-275.9822628755827	101.1636690877402	-1.260057931495865	-110.15435620148976	-458.2983870212346	-1160.4426289882488	-789.09222175764	146.81929056057754	-824.0765942072464	-1279.1440509667425	-369.8753455013699	-693.8503518586207	541.7503501743946	-1200.091085775843	-1315.5416246752277	-1599.5544963163488	-1232.1963868922433	-2058.083257493106	-560.8340792110988	-978.8053504764024	-92.57341593584138	-997.4423715195566	-1049.8890889213033	-684.3119809355917	-1863.927890739441	-1088.761458616054	-1181.6677308407698	631.9840653278611	-788.8395711016432	-709.231734352781	-1076.056126193913	-1229.8868442448702	100.51829225612137	1581.4615775726654	-1482.8350229293485	-135.49892419393808	160.27971362537806	-112.26396389190967	36.374392036103856	-742.198856828903	329.30295890651337	-872.0575121783498	-493.05477156685396	-247.90875056025746	-595.0335884495786	-281.5172747443704	-518.0499995878109	-735.134435119629	-1030.5037478710476	1371.9319967048114	-25.71234248933338	-217.46003048661825	-606.7348890101656	321.33611067371254	-852.2645003278419	-621.4535619486933	-955.0340204925141	192.32391404689926	-552.4428619724863	-1035.79603299491	400.98473187403937	1237.5622618407533	-1090.029913011584	-343.1587066801169	-243.5594521387514	105.08185242317818	-1345.9846872821931	124.64069896274142	85.63427848815918	667.4437891980198	-41.00527443943253	155.8159127029261	405.53727013871	939.7051745328037	180.26374545567472	60.1659228960673	-104.88215909196657	-1022.615669077093	-892.990208249343	428.49594075339184	-398.54781669906424	-174.32510307439523	-159.10420615014746	296.92706256054123	-1910.407379963398	403.1746209515028	339.73867631599654	-33.61514323733631	421.42550845803885	490.7315418023065	299.44500961771774	113.09015321731567	476.69770201444624	662.3611511052665	968.4126412125885	-470.5329610167957	139.7545387935276	-1005.2909870852886	-962.5979670620295	-188.28336614885447	-729.5370328028997	-1521.143658270118	899.7377766735626	-975.8393060564995	-695.4249705640893	840.3362189324697	86.83923355436144	825.2200718688965	-747.325072103931	-429.13629753739986	65.69960972281064
-65.68405849079134	-143.08661929981128	-513.3595335767383	405.59466621135846	-1946.1347601754326	-887.9334550675514	-350.5049986431815	-725.4576328841123	-1235.9161382836103	541.1788119305386	-148.52359060117394	-676.8410616240687	20.865681625701285	133.99732631695696	368.708137388123	-160.39582069927738	-274.7961305134917	-886.1021899034877	-450.9194963869841	-153.43436357987488	-864.3884524113714	-811.3900093125419	-132.99625319163005	-260.406324783961	841.1239305422145	-863.0008322262914	-1224.5316785362652	-1303.2074726890114	-420.7791077915558	-1499.9620869723233	-585.185600730351	-738.3001182038905	128.377498256786	-758.0700210967154	-795.7750468010449	-420.21105584011804	-2248.538053817749	-1088.3047718210423	-837.2185284088958	1207.6000554865057	-679.7630861451693	-287.34630523146245	-975.9982879847696	-815.148046580228	-232.16250088529767	2065.791320959727	-817.4486080423186	-10.30101321665056	341.3369435734219	132.7355830852802	-44.63106686355424	-242.73734419638055	558.4768115004448	-858.7787483201098	-683.5748058615379	-320.3563644493019	-679.3139000072814	-276.3999581216764	20.27458815574646	-125.32259656906128	-1064.6293902884327	1856.9492250486862	-314.47938612276914	-369.6622825221739	-713.7650629591435	854.8249873494256	-347.1495736137269	-530.0759697513304	-154.27898241999594	92.65746373628315	-365.07285897247493	-1056.978474452073	295.2903303964481	1198.8570416266457	-940.532129191341	-28.194900147057332	-489.0090863015278	458.4778839833028	-330.49244090818587	649.6214518547058	132.7244957478841	562.0446041543908	123.41817557093609	79.530966224527	948.1146420369595	1178.3569572974336	528.7176791849271	687.6737643287296	-595.4600125877312	-783.4334718693386	-1333.7160037392064	182.17516256838428	-332.4271606155589	250.32235124516288	-170.59919628219225	467.55232308100614	-1044.5840246582031	198.44546429973002	552.0502704936405	588.2464218534953	203.10978952495532	712.5511113646228	-288.2534737616229	-592.8113249142965	929.4508988380433	876.2145523523881	1094.5897182026847	-139.9017035687556	316.72484400789097	-1219.7890251589492	-62.75902216162236	698.1757037757355	-51.47865207990011	-76.8557734745805	896.7719219670151	1857.948571652174	103.21173371766743	411.57006444295246	-932.5637424320776	1823.0263810577392	305.9654367416136	-35.00625455701673	1543.4712898254395
