onset	duration	temperature	ratings	regulate-up/down
10.216	12.5	42.300000	n/a	n/a
29.246	11.0	n/a	105.000000	n/a
49.474	12.5	43.300000	n/a	n/a
66.493	11.0	n/a	108.000000	n/a
84.726	12.5	45.300000	n/a	n/a
103.756	11.0	n/a	120.000000	n/a
121.989	12.5	46.300000	n/a	n/a
142.997	11.0	n/a	130.000000	n/a
161.23	12.5	45.300000	n/a	n/a
181.241	11.0	n/a	130.000000	n/a
198.477	12.5	44.300000	n/a	n/a
218.504	11.0	n/a	110.000000	n/a
235.74	12.5	44.300000	n/a	n/a
253.757	11.0	n/a	112.000000	n/a
272.987	12.5	42.300000	n/a	n/a
292.017	11.0	n/a	17.000000	n/a
309.253	12.5	42.300000	n/a	n/a
327.286	11.0	n/a	10.000000	n/a
345.519	12.5	46.300000	n/a	n/a
362.538	11.0	n/a	135.000000	n/a
381.768	12.5	43.300000	n/a	n/a
399.785	11.0	n/a	90.000000	n/a
