onset	duration	temperature	ratings	regulate-up/down
2482.217	12.5	45.300000	n/a	down
2503.242	11.0	n/a	127.000000	down
2522.472	12.5	44.300000	n/a	down
2542.5	11.0	n/a	92.000000	down
2559.735	12.5	43.300000	n/a	down
2578.749	11.0	n/a	86.000000	down
2597.979	12.5	45.300000	n/a	down
2616.993	11.0	n/a	83.000000	down
2633.215	12.5	43.300000	n/a	down
2651.232	11.0	n/a	72.000000	down
2669.465	12.5	46.300000	n/a	down
2689.493	11.0	n/a	144.000000	down
2706.728	12.5	46.300000	n/a	down
2723.731	11.0	n/a	130.000000	down
2741.964	12.5	42.300000	n/a	down
2760.978	11.0	n/a	16.000000	down
2781.205	12.5	44.300000	n/a	down
2799.222	11.0	n/a	56.000000	down
2816.458	12.5	42.300000	n/a	down
2834.491	11.0	n/a	15.000000	down
