onset	duration	temperature	ratings	regulate-up/down
2482.216	12.5	42.300000	n/a	up
2501.23	11.0	n/a	132.000000	up
2521.458	12.5	45.300000	n/a	up
2540.488	11.0	n/a	152.000000	up
2559.718	12.5	46.300000	n/a	up
2577.735	11.0	n/a	158.000000	up
2593.957	12.5	44.300000	n/a	up
2610.976	11.0	n/a	124.000000	up
2629.209	12.5	42.300000	n/a	up
2649.237	11.0	n/a	123.000000	up
2667.469	12.5	44.300000	n/a	up
2687.481	11.0	n/a	118.000000	up
2705.713	12.5	43.300000	n/a	up
2723.73	11.0	n/a	116.000000	up
2740.966	12.5	43.300000	n/a	up
2761.991	11.0	n/a	110.000000	up
2779.226	12.5	45.300000	n/a	up
2797.243	11.0	n/a	127.000000	up
2814.479	12.5	46.300000	n/a	up
2833.509	11.0	n/a	154.000000	up
