onset	duration	temperature	ratings	regulate-up/down
846.216	12.5	45.300000	n/a	down
865.23	11.0	n/a	110.000000	down
883.463	12.5	46.300000	n/a	down
902.477	11.0	n/a	118.000000	down
921.707	12.5	43.300000	n/a	down
939.724	11.0	n/a	89.000000	down
956.959	12.5	43.300000	n/a	down
974.976	11.0	n/a	95.000000	down
992.211	12.5	45.300000	n/a	down
1010.228	11.0	n/a	114.000000	down
1028.461	12.5	46.300000	n/a	down
1048.488	11.0	n/a	134.000000	down
1065.724	12.5	44.300000	n/a	down
1085.752	11.0	n/a	112.000000	down
1103.984	12.5	44.300000	n/a	down
1122.998	11.0	n/a	62.000000	down
1139.22	12.5	42.300000	n/a	down
1160.228	11.0	n/a	34.000000	down
1180.455	12.5	42.300000	n/a	down
1197.458	11.0	n/a	10.000000	down
