onset	duration	temperature	ratings	regulate-up/down
10.216	12.5	46.300000	n/a	n/a
27.235	11.0	n/a	154.000000	n/a
44.471	12.5	46.300000	n/a	n/a
62.504	11.0	n/a	137.000000	n/a
79.74	12.5	43.300000	n/a	n/a
97.773	11.0	n/a	69.000000	n/a
116.006	12.5	43.300000	n/a	n/a
136.017	11.0	n/a	79.000000	n/a
154.25	12.5	45.300000	n/a	n/a
175.275	11.0	n/a	91.000000	n/a
191.497	12.5	42.300000	n/a	n/a
210.527	11.0	n/a	78.000000	n/a
228.76	12.5	42.300000	n/a	n/a
247.774	11.0	n/a	92.000000	n/a
265.01	12.5	44.300000	n/a	n/a
282.029	11.0	n/a	116.000000	n/a
301.259	12.5	45.300000	n/a	n/a
320.273	11.0	n/a	94.000000	n/a
340.5	12.5	44.300000	n/a	n/a
360.511	11.0	n/a	90.000000	n/a
378.744	12.5	46.300000	n/a	n/a
396.761	11.0	n/a	125.000000	n/a
