onset	duration	temperature	ratings	regulate-up/down
846.216	12.5	42.300000	n/a	up
867.241	11.0	n/a	84.000000	up
883.463	12.5	45.300000	n/a	up
901.496	11.0	n/a	110.000000	up
918.732	12.5	46.300000	n/a	up
937.762	11.0	n/a	120.000000	up
956.992	12.5	45.300000	n/a	up
973.995	11.0	n/a	95.000000	up
994.222	12.5	42.300000	n/a	up
1014.233	11.0	n/a	50.000000	up
1032.466	12.5	43.300000	n/a	up
1050.483	11.0	n/a	75.000000	up
1069.713	12.5	44.300000	n/a	up
1087.73	11.0	n/a	35.000000	up
1105.963	12.5	43.300000	n/a	up
1124.993	11.0	n/a	10.000000	up
1142.229	12.5	46.300000	n/a	up
1162.256	11.0	n/a	125.000000	up
1179.492	12.5	44.300000	n/a	up
1198.506	11.0	n/a	95.000000	up
