onset	duration	temperature	ratings	regulate-up/down
846.216	12.5	45.300000	n/a	up
864.233	11.0	n/a	109.000000	up
882.466	12.5	46.300000	n/a	up
899.485	11.0	n/a	108.000000	up
919.712	12.5	45.300000	n/a	up
939.724	11.0	n/a	90.000000	up
955.945	12.5	44.300000	n/a	up
973.962	11.0	n/a	55.000000	up
993.192	12.5	43.300000	n/a	up
1012.222	11.0	n/a	22.000000	up
1030.455	12.5	42.300000	n/a	up
1051.463	11.0	n/a	2.000000	up
1068.699	12.5	43.300000	n/a	up
1088.727	11.0	n/a	60.000000	up
1105.962	12.5	44.300000	n/a	up
1124.976	11.0	n/a	66.000000	up
1143.209	12.5	46.300000	n/a	up
1161.242	11.0	n/a	107.000000	up
1178.478	12.5	42.300000	n/a	up
1197.508	11.0	n/a	26.000000	up
