onset	duration	temperature	ratings	regulate-up/down
2482.216	12.5	45.300000	n/a	down
2502.228	11.0	n/a	180.000000	down
2521.458	12.5	43.300000	n/a	down
2542.483	11.0	n/a	140.000000	down
2561.713	12.5	44.300000	n/a	down
2581.741	11.0	n/a	125.000000	down
2598.976	12.5	46.300000	n/a	down
2616.993	11.0	n/a	193.000000	down
2637.22	12.5	45.300000	n/a	down
2656.234	11.0	n/a	135.000000	down
2673.47	12.5	44.300000	n/a	down
2691.503	11.0	n/a	108.000000	down
2707.725	12.5	42.300000	n/a	down
2725.758	11.0	n/a	0.000000	down
2743.991	12.5	42.300000	n/a	down
2763.021	11.0	n/a	79.000000	down
2780.257	12.5	43.300000	n/a	down
2799.271	11.0	n/a	35.000000	down
2817.504	12.5	46.300000	n/a	down
2834.523	11.0	n/a	196.000000	down
