onset	duration	temperature	ratings	regulate-up/down
10.216	12.5	44.300000	n/a	n/a
29.23	11.0	n/a	25.000000	n/a
49.457	12.5	44.300000	n/a	n/a
69.468	11.0	n/a	20.000000	n/a
87.701	12.5	42.300000	n/a	n/a
104.704	11.0	n/a	10.000000	n/a
123.934	12.5	45.300000	n/a	n/a
142.948	11.0	n/a	105.000000	n/a
160.184	12.5	43.300000	n/a	n/a
177.203	11.0	n/a	8.000000	n/a
195.436	12.5	43.300000	n/a	n/a
216.461	11.0	n/a	5.000000	n/a
233.697	12.5	44.300000	n/a	n/a
252.727	11.0	n/a	15.000000	n/a
269.963	12.5	45.300000	n/a	n/a
289.99	11.0	n/a	105.000000	n/a
306.212	12.5	42.300000	n/a	n/a
324.229	11.0	n/a	10.000000	n/a
342.462	12.5	46.300000	n/a	n/a
360.495	11.0	n/a	120.000000	n/a
379.725	12.5	46.300000	n/a	n/a
397.742	11.0	n/a	117.000000	n/a
