onset	duration	temperature	ratings	regulate-up/down
846.216	12.5	44.300000	n/a	up
864.249	11.0	n/a	150.000000	up
881.484	12.5	43.300000	n/a	up
900.498	11.0	n/a	139.000000	up
918.731	12.5	42.300000	n/a	up
938.742	11.0	n/a	130.000000	up
956.975	12.5	45.300000	n/a	up
977.003	11.0	n/a	145.000000	up
994.238	12.5	45.300000	n/a	up
1012.255	11.0	n/a	151.000000	up
1032.482	12.5	43.300000	n/a	up
1049.485	11.0	n/a	113.000000	up
1068.715	12.5	44.300000	n/a	up
1087.745	11.0	n/a	115.000000	up
1103.967	12.5	42.300000	n/a	up
1124.975	11.0	n/a	108.000000	up
1142.211	12.5	46.300000	n/a	up
1161.241	11.0	n/a	166.000000	up
1180.471	12.5	46.300000	n/a	up
1198.488	11.0	n/a	169.000000	up
