onset	duration	temperature	ratings	regulate-up/down
10.216	12.5	44.300000	n/a	n/a
27.219	11.0	n/a	9.000000	n/a
44.455	12.5	43.300000	n/a	n/a
62.488	11.0	n/a	113.000000	n/a
78.71	12.5	46.300000	n/a	n/a
97.74	11.0	n/a	126.000000	n/a
115.973	12.5	42.300000	n/a	n/a
133.99	11.0	n/a	25.000000	n/a
152.222	12.5	42.300000	n/a	n/a
172.233	11.0	n/a	14.000000	n/a
191.463	12.5	44.300000	n/a	n/a
209.48	11.0	n/a	106.000000	n/a
226.716	12.5	45.300000	n/a	n/a
245.746	11.0	n/a	116.000000	n/a
262.982	12.5	44.300000	n/a	n/a
280.001	11.0	n/a	32.000000	n/a
298.234	12.5	46.300000	n/a	n/a
319.259	11.0	n/a	135.000000	n/a
338.489	12.5	45.300000	n/a	n/a
357.519	11.0	n/a	128.000000	n/a
377.746	12.5	43.300000	n/a	n/a
397.758	11.0	n/a	111.000000	n/a
