onset	duration	temperature	ratings	regulate-up/down
10.216	12.5	44.300000	n/a	n/a
28.233	11.0	n/a	112.000000	n/a
46.466	12.5	44.300000	n/a	n/a
63.469	11.0	n/a	108.000000	n/a
81.702	12.5	46.300000	n/a	n/a
99.735	11.0	n/a	152.000000	n/a
118.965	12.5	43.300000	n/a	n/a
137.979	11.0	n/a	106.000000	n/a
155.215	12.5	46.300000	n/a	n/a
172.234	11.0	n/a	161.000000	n/a
192.462	12.5	42.300000	n/a	n/a
212.49	11.0	n/a	9.000000	n/a
229.725	12.5	45.300000	n/a	n/a
247.742	11.0	n/a	104.000000	n/a
263.964	12.5	45.300000	n/a	n/a
282.994	11.0	n/a	1.000000	n/a
302.224	12.5	43.300000	n/a	n/a
322.236	11.0	n/a	36.000000	n/a
340.469	12.5	44.300000	n/a	n/a
359.499	11.0	n/a	103.000000	n/a
377.732	12.5	42.300000	n/a	n/a
398.741	11.0	n/a	102.000000	n/a
