onset	duration	temperature	ratings	regulate-up/down
10.216	12.5	42.300000	n/a	n/a
28.233	11.0	n/a	116.000000	n/a
48.46	12.5	42.300000	n/a	n/a
65.463	11.0	n/a	112.000000	n/a
82.698	12.5	43.300000	n/a	n/a
101.712	11.0	n/a	107.000000	n/a
118.948	12.5	45.300000	n/a	n/a
138.975	11.0	n/a	122.000000	n/a
157.208	12.5	46.300000	n/a	n/a
178.233	11.0	n/a	127.000000	n/a
197.463	12.5	42.300000	n/a	n/a
217.49	11.0	n/a	108.000000	n/a
233.712	12.5	46.300000	n/a	n/a
252.742	11.0	n/a	123.000000	n/a
270.975	12.5	44.300000	n/a	n/a
288.992	11.0	n/a	88.000000	n/a
307.224	12.5	43.300000	n/a	n/a
326.238	11.0	n/a	76.000000	n/a
345.468	12.5	45.300000	n/a	n/a
363.485	11.0	n/a	121.000000	n/a
381.717	12.5	44.300000	n/a	n/a
398.72	11.0	n/a	94.000000	n/a
