onset	duration	temperature	ratings	regulate-up/down
846.216	12.5	43.300000	n/a	down
864.233	11.0	n/a	114.000000	down
881.468	12.5	45.300000	n/a	down
901.48	11.0	n/a	121.000000	down
918.715	12.5	44.300000	n/a	down
939.724	11.0	n/a	115.000000	down
956.959	12.5	45.300000	n/a	down
975.973	11.0	n/a	115.000000	down
995.203	12.5	44.300000	n/a	down
1015.215	11.0	n/a	108.000000	down
1035.442	12.5	43.300000	n/a	down
1054.456	11.0	n/a	110.000000	down
1070.678	12.5	42.300000	n/a	down
1088.711	11.0	n/a	95.000000	down
1106.944	12.5	46.300000	n/a	down
1123.947	11.0	n/a	130.000000	down
1142.18	12.5	42.300000	n/a	down
1160.213	11.0	n/a	112.000000	down
1178.446	12.5	46.300000	n/a	down
1197.46	11.0	n/a	131.000000	down
