onset	duration	temperature	ratings	regulate-up/down
10.216	12.5	46.300000	n/a	n/a
28.249	11.0	n/a	126.000000	n/a
45.485	12.5	45.300000	n/a	n/a
63.518	11.0	n/a	109.000000	n/a
80.754	12.5	45.300000	n/a	n/a
99.784	11.0	n/a	31.000000	n/a
117.02	12.5	46.300000	n/a	n/a
134.039	11.0	n/a	45.000000	n/a
153.269	12.5	44.300000	n/a	n/a
174.278	11.0	n/a	45.000000	n/a
194.505	12.5	44.300000	n/a	n/a
213.519	11.0	n/a	26.000000	n/a
229.741	12.5	42.300000	n/a	n/a
249.768	11.0	n/a	25.000000	n/a
268.998	12.5	42.300000	n/a	n/a
289.01	11.0	n/a	1.000000	n/a
307.242	12.5	43.300000	n/a	n/a
324.245	11.0	n/a	31.000000	n/a
342.478	12.5	46.300000	n/a	n/a
360.495	11.0	n/a	141.000000	n/a
378.728	12.5	43.300000	n/a	n/a
397.758	11.0	n/a	9.000000	n/a
