onset	duration	temperature	ratings	regulate-up/down
10.216	12.5	44.300000	n/a	n/a
30.228	11.0	n/a	112.000000	n/a
48.46	12.5	46.300000	n/a	n/a
68.471	11.0	n/a	130.000000	n/a
85.707	12.5	44.300000	n/a	n/a
106.715	11.0	n/a	40.000000	n/a
125.945	12.5	46.300000	n/a	n/a
143.962	11.0	n/a	130.000000	n/a
164.189	12.5	42.300000	n/a	n/a
183.203	11.0	n/a	20.000000	n/a
200.439	12.5	45.300000	n/a	n/a
219.469	11.0	n/a	110.000000	n/a
237.702	12.5	44.300000	n/a	n/a
256.732	11.0	n/a	25.000000	n/a
274.965	12.5	45.300000	n/a	n/a
292.982	11.0	n/a	110.000000	n/a
310.217	12.5	43.300000	n/a	n/a
327.22	11.0	n/a	10.000000	n/a
345.453	12.5	43.300000	n/a	n/a
363.486	11.0	n/a	30.000000	n/a
382.716	12.5	42.300000	n/a	n/a
399.735	11.0	n/a	6.000000	n/a
