onset	duration	temperature	ratings	regulate-up/down
846.216	12.5	45.300000	n/a	up
865.23	11.0	n/a	67.000000	up
881.452	12.5	44.300000	n/a	up
900.482	11.0	n/a	44.000000	up
918.715	12.5	46.300000	n/a	up
936.732	11.0	n/a	132.000000	up
953.967	12.5	44.300000	n/a	up
971.984	11.0	n/a	48.000000	up
989.22	12.5	46.300000	n/a	up
1007.253	11.0	n/a	137.000000	up
1025.486	12.5	45.300000	n/a	up
1046.511	11.0	n/a	47.000000	up
1063.746	12.5	43.300000	n/a	up
1082.76	11.0	n/a	22.000000	up
1100.993	12.5	42.300000	n/a	up
1121.004	11.0	n/a	20.000000	up
1141.232	12.5	42.300000	n/a	up
1161.259	11.0	n/a	18.000000	up
1180.489	12.5	43.300000	n/a	up
1197.492	11.0	n/a	29.000000	up
