onset	duration	temperature	ratings	regulate-up/down
2482.217	12.5	44.300000	n/a	down
2500.25	11.0	n/a	106.000000	down
2518.483	12.5	46.300000	n/a	down
2535.502	11.0	n/a	112.000000	down
2552.738	12.5	45.300000	n/a	down
2571.752	11.0	n/a	104.000000	down
2590.982	12.5	46.300000	n/a	down
2611.991	11.0	n/a	105.000000	down
2632.218	12.5	42.300000	n/a	down
2651.232	11.0	n/a	60.000000	down
2668.468	12.5	43.300000	n/a	down
2686.501	11.0	n/a	49.000000	down
2704.734	12.5	44.300000	n/a	down
2722.767	11.0	n/a	102.000000	down
2740.003	12.5	42.300000	n/a	down
2760.014	11.0	n/a	42.000000	down
2779.244	12.5	45.300000	n/a	down
2799.255	11.0	n/a	104.000000	down
2817.488	12.5	43.300000	n/a	down
2836.502	11.0	n/a	60.000000	down
